UFID,GRND_FLR,HEIGHT,CONT,ABSOLUTE_HEIGHT,latitude,longitude
1988193611464466483300000000,16.0,60,13.501154551747218,73.50115455174722,37.52204716192239,126.92851996718478
1989192952854475408100000000,10.0,32,14.596989116672525,46.596989116672525,37.530083532444465,126.92106103422537
1985193723824465430900000000,15.0,45,13.39045606741602,58.39045606741602,37.52109974255354,126.92979186890352
1983193498984464475900000000,14.0,42,14.073232288096202,56.0732322880962,37.52023770810513,126.92724937176624
2012193381774469835800000000,1.0,14,13.199035701197003,27.199035701197005,37.52506613864045,126.92591862620179
1984192643464471518800000000,10.0,30,14.551291602547138,44.55129160254714,37.52657689668151,126.91756467128678
1985192849254473253200000000,10.0,30,13.385452605244613,43.38545260524461,37.52814114530143,126.919891031458
1976192542514478546700000000,2.0,8,19.765267545583654,27.765267545583654,37.53290816419366,126.91641542347115
1991192815584474738500000000,10.0,30,14.4153540192327,44.4153540192327,37.5294791781266,126.91950866092911
2001192826894472650600000000,11.0,39,13.200415326908448,52.20041532690845,37.52759806046136,126.91963870728753
2004192905514475739500000000,10.0,34,14.068703551689358,48.06870355168936,37.53038175157667,126.92052505876646
2004192828364474844900000000,10.0,35,14.215522738551623,49.21552273855163,37.52957511093228,126.91965316761907
1996192870484473974300000000,10.0,40,13.796642093715377,53.79664209371538,37.52879106555275,126.92013047506859
1978193033784475637300000000,15.0,66,14.364051654025367,80.36405165402536,37.53029066900252,126.92197633753189
2010193005924475343000000000,4.0,17,14.26891764830417,31.268917648304168,37.53002529657425,126.92166143880121
1979192372914473216800000000,2.0,8,15.157813626912873,23.157813626912873,37.528104492774006,126.91450226551447
2006192776544470301400000000,13.0,42,12.200343418261614,54.20034341826161,37.52548101732398,126.91907142608434
2010193027854462796500000000,2.0,8,11.729108292163213,19.72910829216321,37.518721157803185,126.92192160896799
1984193435114468163700000000,15.0,60,13.335945680819098,73.3359456808191,37.52355994583071,126.92652352485018
2001194249144469482900000000,2.0,6,14.532109990461954,20.532109990461954,37.524754051593895,126.93573113062023
1978194150904469633500000000,1.0,4,14.966431228672315,18.966431228672313,37.524889096989334,126.93461963091349
1978194084144468436400000000,3.0,9,14.481071738731957,23.481071738731956,37.523810075101395,126.93386537170935
1983193463574469376800000000,10.0,30,13.201978473200981,43.20197847320098,37.5246531880029,126.92684436013408
1983193427754468841700000000,14.0,51,13.273076381873064,64.27307638187307,37.52417074574232,126.92643965013518
1985193644714465654400000000,12.0,50,13.328084711471599,63.3280847114716,37.521300564667044,126.92889684844974
1999193637234464363200000000,15.0,58,13.412273227745779,71.41227322774577,37.52013717871694,126.92881337549929
2003193789954463309900000000,16.0,54,13.122334235710735,67.12233423571074,37.51918920520104,126.930541782796
1986193663384466899100000000,14.0,57,13.532735582819575,70.53273558281957,37.52242215319706,126.92910689240489
1984193642164466630100000000,14.0,44,13.532895721298488,57.53289572129849,37.52217967254159,126.92886708085588
1983193696814464824800000000,10.0,30,13.185680144129075,43.18568014412907,37.520553498836485,126.92948691563348
1989193751224465253300000000,10.0,30,13.402424779014133,43.40242477901413,37.5209398968009,126.93010199195743
1984193812184464277100000000,12.0,41,13.326043224715768,54.32604322471577,37.520060778902824,126.93079244013386
1983193351854465262500000000,10.0,30,14.80358484355052,44.803584843550524,37.520945381398974,126.92558433151986
1983193842674463722800000000,9.0,27,13.302869565789644,40.30286956578964,37.51956155167029,126.93113775735235
1984193822844463977200000000,10.0,30,13.284209107917814,43.28420910791782,37.51979066044486,126.93091326203525
1982193786284463711100000000,7.0,21,13.153185640150147,34.15318564015015,37.51955067104869,126.93049987622196
0000194273564461880700000000,7.0,29,15.385161813156612,44.385161813156614,37.51790465523849,126.9360133671478
1979193914604462286200000000,8.0,30,14.275372112556841,44.27537211255684,37.51826772200653,126.93195260285323
1982193542304469023900000000,12.0,45,13.196071420887,58.196071420887,37.52433574401182,126.92773541346338
1984193467454468407000000000,17.0,67,13.29533451663177,80.29533451663177,37.52377943211154,126.92688919789506
1977193947994468985400000000,15.0,45,14.235573058651942,59.235573058651944,37.52430383465561,126.93232473653256
